MOA_groupID,MOA_plantID,MOA_sampleID,MOA_proteomicsPoolID,proteomicsPool,Genotype,Treatment,PlantNumber,LeafNumber,LeafPosition,Dpi,PlantNo/Leaf,CommentTS_FIX,Date:Planting,Date:Treatment,Date:Measurement/Observation,Replicate,BiosampleName,Organism*,Infraspecific name,Life stage,"Material Source: Holding Institute/Stock Centre, accession*",Body part,Treatment
MOAg_18,MOAp_067,MOAs_0399,MOA_pPool06,pool6C,D-COI,PVY,3,3,BOTTOM,4,3/3S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée-COI); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_18,MOAp_077,MOAs_0403,MOA_pPool06,pool6C,D-COI,PVY,5,2,BOTTOM,4,5/2S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée-COI); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(sh-COI-X5),BBCH-potato:107,holding_institution:NIB;accession:COI,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_31,MOAp_130,MOAs_0700,MOA_pPool07,pool9,D-NAHG,MOCK,1,3,BOTTOM,4,1/3S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée-NahG); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_31,MOAp_143,MOAs_0710,MOA_pPool07,pool9,D-NAHG,MOCK,6,2,BOTTOM,4,6/2S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée-NahG); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_31,MOAp_131,MOAs_0702,MOA_pPool08,pool7,D-NAHG,MOCK,2,3,BOTTOM,4,2/3S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée-NahG); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_31,MOAp_141,MOAs_0706,MOA_pPool08,pool7,D-NAHG,MOCK,4,2,BOTTOM,4,4/2S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée-NahG); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_31,MOAp_132,MOAs_0704,MOA_pPool09,pool8,D-NAHG,MOCK,3,3,BOTTOM,4,3/3S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée-NahG); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_31,MOAp_142,MOAs_0708,MOA_pPool09,pool8,D-NAHG,MOCK,5,2,BOTTOM,4,5/2S,-,06/04/2010,06/05/2010,10/05/2010,rep2,Potato sample (Désirée-NahG); 4 days post mechanical treatment; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007373(mechanical damage):control
MOAg_43,MOAp_188,MOAs_0995,MOA_pPool10,pool3,D-NAHG,PVY,1,3,BOTTOM,4,1/3S,-,06/04/2010,06/05/2010,10/05/2010,rep1,Potato sample (Désirée-NahG); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
MOAg_43,MOAp_201,MOAs_1005,MOA_pPool10,pool3,D-NAHG,PVY,6,2,BOTTOM,4,6/2S,-,06/04/2010,06/05/2010,10/05/2010,rep3,Potato sample (Désirée-NahG); 4 days post potato virus Y inoculation; bottom treated leaf,4113(solanum tuberosum),subspecies:tuberosum;cultivar:Désirée;line:transgenic(OE-NahG-D2),BBCH-potato:107,holding_institution:NIB;accession:NahG,http://purl.obolibrary.org/obo/PO_0025034(leaf):bottom,http://purl.obolibrary.org/obo/EO_0007109(ssRNA positive-strand virus with no DNA stage):potato virus Y (NTN)
