dataType	sampleName	condition	sampleNumber	color
1	proteome	normal_1	normal	1	#BBFFBB
2	proteome	normal_2	normal	2	#BBFFBB
3	proteome	day1_1	day1	1	#FFFFDD
4	proteome	day1_2	day1	2	#FFFFDD
5 proteome	day2_1	day2	1	#BBD7FF
6 proteome	day2_2	day2	1	#BBD7FF
7 proteome	day3_1	day3	1	#F0BBFF
8 proteome	day3_2	day3	2	#F0BBFF
9	proteome	day7_1	day7	1	#FFDD88
10	proteome	day7_2	day7	2	#FFDD88
11	proteome	day14_1	day14	1	#FF4400
12	proteome	day14_2	day14	2	#FF4400
